Player Name,Likes,Inj,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Stephen Strasburg,11,,SP,12400,WAS,ATL,68%,2.97,7,0.299,20.5%,3.54,29.2%,2.81,2.76,R,0.271,0.284,0%,-1%,0%,22.8,25.7,25.7,19.5,31.8,23.0,1.9,8.6,0.7
Yu Darvish,8,,SP,11200,TEX,DET,65%,3.95,7,0.324,18.8%,4.70,31.0%,2.82,2.87,R,0.304,0.257,0%,-1%,0%,23.4,22.2,22.2,17.9,26.4,19.9,1.8,20.8,1.9
Jake Arrieta,1,,SP,11000,CHC,STL,62%,3.46,6,0.313,22.2%,4.95,26.6%,3.03,2.88,R,0.242,0.251,-2%,-2%,0%,18.1,22.6,22.6,12.1,33.0,21.4,1.9,23.1,2.1
David Price,2,,SP,10300,BOS,ARI,69%,3.74,6.5,0.319,21.1%,4.42,25.7%,3.11,3.06,L,0.281,0.291,-1%,-2%,-3%,9.6,18.0,18.0,3.7,32.4,19.8,1.9,25.4,2.5
Chris Archer,5,,SP,9400,TB,@NYY,52%,4.16,6,0.321,19.0%,4.12,25.7%,3.47,3.37,R,0.297,0.285,-2%,-2%,0%,23.8,18.1,18.1,7.5,28.6,19.3,2.1,16.7,1.8
Jon Gray,9,,SP,8900,COL,@PHI,57%,3.87,6,0.289,24.7%,3.72,24.2%,3.75,3.71,R,0.302,0.336,3%,-2%,0%,18.3,17.0,17.0,3.5,30.5,19.5,2.2,3.8,0.4
Homer Bailey,1,,SP,8600,CIN,@MIL,50%,4.27,5,0.290,26.2%,4.05,19.7%,3.75,3.68,R,0.339,0.277,-1%,0%,0%,9.4,9.4,9.4,-6.5,25.2,16.8,2.0,37.1,4.3
Joe Musgrove,6,,SP,8300,HOU,@TOR,50%,4.48,6,0.338,22.8%,4.79,,,,R,,,-3%,0%,0%,22.8,22.8,22.8,22.8,22.8,15.2,1.8,25.6,3.1
Tyler Skaggs,2,,SP,7500,LAA,@CLE,41%,4.40,,0.335,19.9%,4.96,19.1%,3.77,3.67,L,0.308,0.307,3%,-2%,0%,18.8,18.8,18.8,6.6,31.1,14.8,2.0,0.7,0.1
Dylan Bundy,8,,SP,7400,BAL,@SF,51%,3.69,5.5,0.316,17.6%,4.43,24.1%,3.62,4.15,R,0.279,,6%,0%,0%,21.4,21.4,21.4,9.9,32.9,13.9,1.9,17.8,2.4
CC Sabathia,0,,SP,7300,NYY,TB,48%,4.34,5,0.325,23.3%,4.02,19.0%,4.16,4.15,L,0.280,0.352,-1%,-3%,0%,8.9,12.9,12.9,3.2,22.6,14.9,2.0,21.3,2.9
Ivan Nova,1,,SP,7000,PIT,@LAD,40%,4.16,4,0.327,20.5%,4.42,16.2%,4.27,4.30,R,0.341,0.333,3%,0%,0%,15.7,12.9,12.9,4.8,21.0,13.1,1.9,12.6,1.8
Carlos Carrasco,12,,SP,6900,CLE,LAA,59%,3.60,5.5,0.321,18.0%,4.58,27.1%,2.95,2.93,R,0.293,0.277,1%,-2%,0%,13.9,18.5,18.5,5.0,32.0,17.6,2.6,24.9,3.6
Sean Manaea,2,,SP,6800,OAK,SEA,54%,3.82,5,0.332,21.6%,4.65,19.9%,4.14,4.14,L,,0.357,3%,0%,0%,18.8,13.0,13.0,2.3,23.7,16.3,2.4,15.3,2.3
Adam Wainwright,,,SP,6700,STL,@CHC,38%,4.54,5,0.307,27.6%,5.04,19.4%,3.77,3.55,R,0.292,0.269,-7%,-3%,0%,16.1,14.5,14.5,3.9,25.1,17.7,2.6,-11.5,-1.7
Francisco Liriano,7,,SP,6600,TOR,HOU,50%,4.52,5.5,0.337,20.1%,4.35,24.9%,3.80,3.58,L,0.269,0.306,-2%,0%,0%,13.7,12.4,12.4,0.5,24.4,15.4,2.3,4.2,0.6
Carlos Rodon,3,,SP,6400,CWS,@MIA,44%,4.00,5,0.313,19.1%,4.27,22.8%,4.11,4.03,L,0.244,0.360,-1%,0%,0%,13.0,14.1,14.1,5.0,23.2,16.4,2.6,19.9,3.1
Yordano Ventura,0,,SP,6300,KC,@MIN,46%,4.45,4.5,0.324,22.5%,4.61,20.1%,4.07,3.95,R,0.308,0.306,1%,0%,0%,15.6,11.9,11.9,1.6,22.1,16.2,2.6,28.8,4.6
Mike Foltynewicz,0,,SP,6100,ATL,@WAS,32%,4.53,4.5,0.305,18.2%,4.69,19.3%,4.28,4.55,R,0.395,0.333,0%,-4%,0%,10.7,13.7,13.7,2.3,25.0,12.0,2.0,10.6,1.7
Matt Cain,,,SP,5900,SF,BAL,49%,3.81,4.5,0.315,22.4%,4.65,17.0%,4.56,4.59,R,0.334,0.323,3%,0%,0%,9.3,9.2,9.2,-0.5,19.0,12.0,2.0,5.8,1.0
Anibal Sanchez,1,,SP,5800,DET,@TEX,35%,5.55,4.5,0.341,17.3%,4.67,20.5%,4.04,4.06,R,0.296,0.315,2%,-1%,0%,16.9,10.3,10.3,-0.6,21.2,13.1,2.3,-5.0,-0.9
Andrew Cashner,5,,SP,5300,MIA,CWS,56%,3.50,4,0.303,21.2%,3.99,19.5%,4.01,3.89,R,0.338,0.282,-1%,0%,0%,16.9,10.5,10.5,0.0,21.0,14.2,2.7,4.9,0.9
Kyle Gibson,,,SP,5100,MIN,KC,54%,4.05,4.5,0.318,17.8%,3.84,16.0%,4.22,4.04,R,0.331,0.305,0%,0%,0%,11.7,10.8,10.8,-0.6,22.2,12.1,2.4,2.1,0.4
Ross Stripling,1,,SP,5000,LAD,PIT,60%,3.34,,0.301,22.6%,4.50,17.7%,4.28,4.05,R,,0.328,2%,0%,0%,11.0,11.6,11.6,3.3,19.9,14.5,2.9,10.2,2.0
Jimmy Nelson,,,SP,4900,MIL,CIN,50%,4.23,4.5,0.294,22.9%,4.34,18.5%,4.30,4.30,R,0.358,0.293,-1%,0%,0%,7.8,12.0,12.0,1.7,22.2,13.4,2.7,13.3,2.7
Paul Clemens,,,SP,4700,SD,@NYM,42%,5.18,,0.307,21.1%,3.70,15.4%,5.00,5.38,R,0.348,0.398,5%,-5%,-2%,8.7,8.7,8.7,4.9,12.6,10.0,2.1,10.4,2.2
Logan Verrett,0,,SP,4000,NYM,SD,57%,4.32,,0.292,23.2%,4.46,17.1%,4.65,4.67,R,0.316,0.331,4%,-4%,-1%,8.0,7.5,7.5,-4.0,19.0,12.8,3.2,-7.4,-1.9
Jake Thompson,,,SP,4000,PHI,COL,42%,4.63,,0.308,21.0%,5.18,,,,R,,,-2%,-5%,0%,-6.2,-6.2,-6.2,-6.2,-6.2,10.0,2.5,18.3,4.6
Patrick Corbin,,,SP,4000,ARI,@BOS,31%,5.76,4,0.331,17.3%,5.42,19.0%,4.16,3.98,L,0.288,0.333,-3%,-5%,-8%,6.9,9.9,9.9,0.8,18.9,7.9,2.0,-5.6,-1.4
